ProductID,ProductName,Category,SubCategory,Brand,UnitCost,UnitPrice,LaunchYear
P1000,Nova Mobile Phone 859,Electronics,Mobile Phones,Nova,151.69,369.51,2022
P1001,TrueNorth Mobile Phone 328,Electronics,Mobile Phones,TrueNorth,293.6,580.82,2021
P1002,PrimeLine Mobile Phone 792,Electronics,Mobile Phones,PrimeLine,64.94,91.1,2024
P1003,UrbanEdge Mobile Phone 704,Electronics,Mobile Phones,UrbanEdge,26.06,60.62,2023
P1004,Zentra Mobile Phone 130,Electronics,Mobile Phones,Zentra,241.64,512.4,2020
P1005,Solace Mobile Phone 338,Electronics,Mobile Phones,Solace,11.17,27.49,2024
P1006,Nova Laptop 674,Electronics,Laptops,Nova,333.48,492.23,2021
P1007,Alpine Laptop 325,Electronics,Laptops,Alpine,75.18,108.14,2023
P1008,Vertex Laptop 928,Electronics,Laptops,Vertex,123.78,232.98,2020
P1009,MaxCore Laptop 814,Electronics,Laptops,MaxCore,174.48,275.43,2023
P1010,Bright Path Laptop 384,Electronics,Laptops,Bright Path,245.91,339.69,2021
P1011,Solace Laptop 881,Electronics,Laptops,Solace,118.98,199.44,2022
P1012,PrimeLine Laptop 194,Electronics,Laptops,PrimeLine,184.06,408.75,2023
P1013,PrimeLine Laptop 467,Electronics,Laptops,PrimeLine,82.27,153.72,2022
P1014,Vertex Laptop 926,Electronics,Laptops,Vertex,238.19,300.21,2020
P1015,Craftly Laptop 649,Electronics,Laptops,Craftly,244.2,347.17,2020
P1016,UrbanEdge Headphone 665,Electronics,Headphones,UrbanEdge,28.83,70.16,2022
P1017,Kindred Headphone 691,Electronics,Headphones,Kindred,386.36,869.66,2021
P1018,UrbanEdge Headphone 146,Electronics,Headphones,UrbanEdge,123.93,164.45,2021
P1019,Aura Headphone 181,Electronics,Headphones,Aura,274.64,486.72,2021
P1020,PrimeLine Headphone 489,Electronics,Headphones,PrimeLine,51.45,94.86,2022
P1021,Craftly Headphone 750,Electronics,Headphones,Craftly,16.65,39.66,2022
P1022,MaxCore Headphone 479,Electronics,Headphones,MaxCore,105.74,217.96,2022
P1023,Solace Headphone 786,Electronics,Headphones,Solace,126.75,237.79,2022
P1024,UrbanEdge Headphone 723,Electronics,Headphones,UrbanEdge,220.04,316.93,2021
P1025,TrueNorth Camera 267,Electronics,Cameras,TrueNorth,387.93,856.42,2023
P1026,Metro Camera 376,Electronics,Cameras,Metro,375.98,888.54,2024
P1027,TrueNorth Camera 801,Electronics,Cameras,TrueNorth,240.37,576.51,2022
P1028,Zentra Camera 334,Electronics,Cameras,Zentra,38.13,55.47,2020
P1029,Bright Path Camera 510,Electronics,Cameras,Bright Path,20.96,34.02,2022
P1030,UrbanEdge Camera 316,Electronics,Cameras,UrbanEdge,157.3,244.25,2024
P1031,Bright Path Camera 317,Electronics,Cameras,Bright Path,332.01,552.39,2023
P1032,Metro Camera 758,Electronics,Cameras,Metro,114.53,218.24,2023
P1033,EcoWear Camera 371,Electronics,Cameras,EcoWear,58.95,132.22,2021
P1034,TrueNorth Camera 862,Electronics,Cameras,TrueNorth,32.6,80.94,2024
