StoreID,Year,Month,SalesTarget
S101,2021,1,18607.93
S101,2021,2,45285.89
S101,2021,3,59963.57
S101,2021,4,24802.23
S101,2021,5,43445.29
S101,2021,6,21547.5
S101,2021,7,29497.05
S101,2021,8,58248.33
S101,2021,9,30391.16
S101,2021,10,34707.54
S101,2021,11,35431.25
S101,2021,12,68267.17
S101,2022,1,39546.57
S101,2022,2,19797.8
S101,2022,3,40094.32
S101,2022,4,54517.54
S101,2022,5,43320.76
S101,2022,6,52936.92
S101,2022,7,55645.28
S101,2022,8,52416.26
S101,2022,9,52443.21
S101,2022,10,54044.08
S101,2022,11,72034.77
S101,2022,12,72419.31
S101,2023,1,16815.73
S101,2023,2,39647.97
S101,2023,3,23198.87
S101,2023,4,23454.13
S101,2023,5,51499.41
S101,2023,6,20468.14
S101,2023,7,39390.0
S101,2023,8,25497.19
S101,2023,9,41920.54
S101,2023,10,31110.34
S101,2023,11,25213.57
S101,2023,12,31662.69
S101,2024,1,42300.43
S101,2024,2,22377.11
S101,2024,3,25518.94
S101,2024,4,29127.81
S101,2024,5,24793.26
S101,2024,6,17372.46
S101,2024,7,25906.26
S101,2024,8,55264.03
S101,2024,9,51044.09
S101,2024,10,41901.71
S101,2024,11,49997.01
S101,2024,12,62607.39
S101,2025,1,42400.26
S101,2025,2,36532.41
S101,2025,3,44277.55
S101,2025,4,34289.21
S101,2025,5,44772.08
S101,2025,6,31306.31
S101,2025,7,50471.7
S101,2025,8,39227.07
S101,2025,9,21102.51
S101,2025,10,27490.43
S101,2025,11,62168.72
S101,2025,12,52400.6
S102,2021,1,41409.13
S102,2021,2,35904.7
S102,2021,3,22912.89
S102,2021,4,19842.5
S102,2021,5,36755.48
S102,2021,6,49937.99
S102,2021,7,23468.21
S102,2021,8,44288.27
S102,2021,9,49219.56
S102,2021,10,19182.64
S102,2021,11,42926.91
S102,2021,12,23265.76
S102,2022,1,46308.44
S102,2022,2,21004.07
S102,2022,3,42976.5
S102,2022,4,23644.93
S102,2022,5,34295.65
S102,2022,6,16295.23
S102,2022,7,46158.48
S102,2022,8,20446.07
S102,2022,9,44558.8
S102,2022,10,46797.56
S102,2022,11,76515.33
S102,2022,12,60821.31
S102,2023,1,19644.93
S102,2023,2,17822.11
S102,2023,3,22724.29
S102,2023,4,22683.12
S102,2023,5,53294.28
S102,2023,6,27166.78
S102,2023,7,45975.54
S102,2023,8,38634.48
S102,2023,9,50636.07
S102,2023,10,47482.98
S102,2023,11,66929.37
S102,2023,12,23087.86
S102,2024,1,38519.38
S102,2024,2,22145.48
S102,2024,3,48008.38
S102,2024,4,34524.58
S102,2024,5,28884.35
S102,2024,6,15648.72
S102,2024,7,55120.2
S102,2024,8,19494.51
S102,2024,9,50590.62
S102,2024,10,28058.52
S102,2024,11,29339.46
S102,2024,12,64005.59
S102,2025,1,33892.57
S102,2025,2,45377.5
S102,2025,3,21988.56
S102,2025,4,59336.24
S102,2025,5,16386.78
S102,2025,6,46190.73
S102,2025,7,26009.28
S102,2025,8,52655.28
S102,2025,9,31553.51
S102,2025,10,46396.8
S102,2025,11,37497.54
S102,2025,12,43564.14
S103,2021,1,39584.35
S103,2021,2,48627.73
S103,2021,3,20310.69
S103,2021,4,48112.74
S103,2021,5,34160.85
S103,2021,6,17930.65
S103,2021,7,30136.34
S103,2021,8,59536.2
S103,2021,9,15362.9
S103,2021,10,51121.8
S103,2021,11,36172.92
S103,2021,12,37572.36
S103,2022,1,26196.9
S103,2022,2,36503.14
S103,2022,3,42901.86
S103,2022,4,17922.91
S103,2022,5,23663.42
S103,2022,6,16751.91
S103,2022,7,28997.07
S103,2022,8,43632.94
S103,2022,9,28503.69
S103,2022,10,29615.46
S103,2022,11,24960.31
S103,2022,12,56556.11
S103,2023,1,14884.45
S103,2023,2,47530.67
S103,2023,3,23058.75
S103,2023,4,53703.51
S103,2023,5,45032.88
S103,2023,6,51981.41
S103,2023,7,18176.96
S103,2023,8,43935.19
S103,2023,9,29323.77
S103,2023,10,29378.62
S103,2023,11,35129.32
S103,2023,12,63336.91
S103,2024,1,35456.44
S103,2024,2,19460.14
S103,2024,3,43537.8
S103,2024,4,22852.48
S103,2024,5,36612.82
S103,2024,6,47000.62
S103,2024,7,34475.2
S103,2024,8,44878.43
S103,2024,9,59954.01
S103,2024,10,41997.68
S103,2024,11,64859.01
S103,2024,12,52836.07
S103,2025,1,21690.08
S103,2025,2,33300.17
S103,2025,3,19197.17
S103,2025,4,26252.18
S103,2025,5,52564.39
S103,2025,6,43130.06
S103,2025,7,39379.47
